index,2018年度,2019年度,2020年度,2021上半年,2021下半年,2022年度,2022年评分,2023年度,2023年评分
120,022、谁能想到，看起来年纪轻轻，只有二十多岁的我，已经是两个人的儿子,213、王老汉想买彩票又不想出门，于是把2元钱冲进了马桶,243、黑人是不道德的。,186、我把電車難題简化了，现在是电车难题了,171、悉心指导学生的王老师被当场取消监考资格,240、人生就像塑料袋，装了一辈子，最后不是被烧就是被埋。,3.69,219、“你每天都在地域黑，能不能反省一下？”<br>“ok，反哪个省？”,3.69
121,021、“余生多指教！”无期徒刑罪犯刘某向狱警王教官说道。,212、不好了猴哥，门口有两个如来佛祖打起来了，吵着要你来分辨真假,242、比起段子，应该还是我的论文更加搞笑一点。,185、陈睿书法力透纸背，可知其笔力必利。,170、高楼大厦切割了天空，抬头看去，天空从来都不是完整的。,239、“人是死的，树是活的。”顺治评价崇祯。,3.70,218、灯神，我现在一米五三，想变成一米八！<br>没问题！“啪”<br>可是我没有变化啊？<br>现在是九进制的世界了～,3.70
122,020、孙悟空用武力逼迫无能的阎王政府签订不平等生死簿史称鬼门关事变,211、经过一顿暴打之后，水土不服的病人终于服了,241、经历了太多之后，特朗普改名为特朗普（已黑化）,184、医生说我智力低下是什么意思？,169、老马识途，大马士革，小马宝莉。,238、语言暴力：( '-' )ノ)`-' ),3.70,217、开学不是37开也不是46开，而是91开。,3.70
123,019、父亲怒斥我不争气，连打起来的手感都不如别人家孩子,210、本考试是闭卷考试所有考生一律不准打开试卷。,240、“妈妈天上有个小男孩在飞，那是彼得·潘吗？”<br>“不，傻孩子，那是原子弹！”,183、死亡是人生的通关奖励,168、我写的代码因为bug过多被昆虫学家们奉为百科全书,237、我在发呆，请大家有序排队领取。,3.70,216、能不能不要开肯尼迪的玩笑了，开玩笑也要有个头。,3.70
124,017、楼下的算命先生名不虚传，他居然算出我只有一条命,209、下面我们将在烈日下用放大镜对这只蚂蚁进行焦点访谈,239、冬天我带上手套，不是为了给自己保暖，只是不想加热这个世界。,182、谁能想到，一向见钱眼开的他，竟然被金钱蒙蔽了双眼？,167、总是忍不住咬手指甲怎么办？专家一语道破：只要把不和住两字换下位置，立刻忍住不咬手指甲！,236、抓小龙虾的人怎么知道哪一只是蒜蓉的哪一只是麻辣的？,3.70,215、“他应该是不想干活。”王警官指着从河里捞上来的尸体说。,3.70
125,016、师傅你能不能不要对电风扇喊“不转不是中国人”了，我试过了修不好,208、李寡妇给自己的闺女取名叫林子，希望林子大了能完成自己的心愿。,238、我发现花草一到冬天就死了，而雪人只有冬天能活，所以我怀疑花草死后灵魂转世到了雪人,181、显性纯种傻丨丨逼是SSBB,166、“大人有大量，小孩倒是不多了。”食人族厨师清点食材说。,235、豪言壮语也是种状语后置。,3.70,214、美国的rgb运动，白人获得了255，255，255的高分,3.70
126,015、我挠破头也想不明白为什么我想不明白要挠破头,207、小明每天坚持给女神发情话表白，终于等到了她的回复：TD,237、《移动迷宫》系列获好评，决定推出续集《联通圈套》及《电信诈骗》,180、这道阅读题如果讲礼貌，应该会对我说谢谢理解。,165、高中生小明总是丢三落四，导致他在数学考试中取π值为0.1。,234、上了大学的我讲究点到即止，老师点名，我喊“到”后，这节课对我来说就到此为止了。,3.70,213、“杨洋这么油，刘亦菲是怎么答应和他拍戏的？”<br>“她是美国人。”,3.70
127,014、警方在一家雇用童工的火力发电厂里查出大批火力少年王,206、自从我患上了选择困难症，就再也没玩过简单模式。,236、社会摇进入西方国家，入乡随俗变成了资本摇。,179、“做个人吧！”女娲精神饱满地上班了。<br>“我不做人类了！救救！”女娲疲惫地结束了一天的工作。,164、活到老学到老，我不学，所以我不会老。,233、“你好像来到了我身边该怎么简洁地表达？”<br>“你若至？”,3.70,212、出院那天，我的心理医生告诉我：没钱别找他聊天。,3.70
128,013、可恶的敌人把我军辛苦布置的地雷全部踩爆了。,205、伴随着众多科学家的倒数声，长征六号被送入老铁的直播间,235、小明复姓小名明复,178、阎王让我三更死，我偏要两更就去；悄悄给他一个惊喜,163、“请你站在我的立场上想一想，如果你杀了人，你会承认吗？”犯罪嫌疑人向王警官解释道。,232、三个火是焱，三个水是淼，三个死是品。,3.70,211、伯邑考：你不要从别人嘴里了解我。,3.70
129,012、我觉得白雪公主之所以命运坎坷主要原因是因为身边的小人太多,204、妖精三刀下去，唐三藏变成了6个半藏,234、永动机是不可能被发明出来的，因为没有人能够永生！你怎么证明它是永动机,177、人们每观测到一颗星星，就有一个死去的人被想起,162、因为睡不着，所以可证明睡是不可燃物品,231、我怀疑自己生活在一个缸里，不然怎么会处处碰壁。,3.71,210、和尚逛漫展，化二次缘,3.71
130,011、我证明了屎是弱酸性的，因为拿ph试纸擦屁股纸会变黄,203、唉，已经快一年没有人跟我说过生日快乐了。,233、拿不出人证的老王，被法官判为猴子,176、消灭了所有圆柱民之后方块人说：这是我的世界,161、恐怖分子是由2个恐怖原子组成的，还是由1个恐原子和1个怖原子构成的？,230、你忘记一个梦，是大脑撤回了一条消息。,3.71,209、喜欢哥哥的颜值是哥哥的颜值粉，喜欢哥哥的演技是哥哥的演技粉，那**粉喜欢哥哥什么啊？,3.71
131,010、气象局发布黄色预警被扫黄大队依法查封,202、小明在邮箱取信时因寻信姿势罪而被捕。,232、女德大师因宣传“女子无才便是德”而被赞缺德,175、有人大愚若智，有人等于弱智,160、食人族要求煎饼摊老板：“多少沾点脑摊。”,229、猫从极高处摔了下来，笑曰：“命不9矣。”,3.72,208、长期不自杀等于慢性自杀！,3.72
132,009、放学后我招呼小伙伴集体玩跳房子结果7死12伤,201、“我不做人啦”食人族厨师在辞职信中写道,231、受害人手机上健康码是绿色的，王警官大胆推测：其实受害人还没有死。,174、明天和意外到底哪个先来？如果我坚信是意外会先来，没想到明天先来了，那么就还是意外先来了,159、公司就是小孩将大人送去托管的地方,228、有的函数为了求极限连下限都不要了。,3.72,206、“创”兼具了诞生与毀灭。,3.72
133,008、华佗给关羽刮完骨头发现没中奖又偷偷刮了一根,200、“你有权保持沉默！但你所说的话将打破你的沉默！”,230、小朋友放生了气球，而我放生了自由，,173、他们说我是废物，我感觉自己被物化了,158、我碰到女鬼了，就在晚风吹拂我脸庞时，她吻了我。,227、“报告老板，我们按照你的要求找到了一个得力的员工。”<br>“我就知道我们晨光有内鬼！”,3.72,205、比较早熟，在别的小朋友还在丢手绢的时候，我就已经开始****了。,3.72
134,007、“你在干什么鬼”黑白无常拉开阎王的床帐问道,199、阿鸡网购了台三星手机，坚持要给三星好评，却被客服破口大骂,229、小红分裂出了460个人格，因为太卡所以得了拖延症。,172、80人民币听起来比1000日元贵，这是因为80人民币本来就比1000日元贵,157、十年后我怀念二十年前的时候，准会想起十年前我憧憬二十年后的那个遥远的下午。,226、路易十六答应了革命派的条件，但是没纸笔，只好先做出口头承诺。,3.72,204、硬盘把数据导出来为什么没有变成软盘？,3.72
135,006、长寿村村长讲授养生秘诀：谎报年龄,198、是时候教你做人了，食人族妈妈开始教孩子料理,228、老师说我的意志不够坚定，原来我学习不好的原因是我是弱志,171、“夏天抹防晒霜时别忘了抹脖子。”说完这句话小明就自尽了,156、哪吒闹海讲了一个来龙去脉的故事,225、996的人大喊995。,3.72,203、阎王叫我三更死，但我没有去报道还保留应届吗？,3.72
136,005、修不起路的村民纷纷自寻死路解决了交通问题,197、百岁老人揭露长生不死秘诀：起名时选生死簿输入法打不出来的字,227、“多新鲜哪！”捧哏演员转行卖菜。,170、从新陈代谢角度上来说，时光倒流是件挺恶心的事儿。,155、既然“你不干也有人会干”，那么我们为什么不能把黑心企业都倒闭了，反正这些服务良心企业也能提供。,224、耶稣是有固定工作的。,3.72,202、杀我的凶手却在独自落泪，我不禁疑惑：这比杀了我还难受。,3.72
137,004、前几天去医院体检了，好开心，只花了200块钱就检查出六个病来,196、你要做自己。杀手小张接到了新的任务,226、如果长得帅是一种错，那我估计要终生监禁，因为我昨晚杀人了。,169、题目：十二生肖第二个是什么？庖丁：解：牛。,154、我曾经杀死一只知更鸟，曾经杀死比尔，还曾经杀死那个石家庄人,222、人生和番茄一样，都是二字词语。,3.72,201、“您好，我已到达约定位置，请尽快上车。”<br>“我人不在家，你先放快递柜吧。”,3.72
138,003、刽子手手起刀落，犯人掉头就跑,195、杀一个人是犯罪，杀到只剩一个人就不是了,225、昨晚梦见我杀了我自己，梦是反的，所以应该是我自己杀了我。,168、为什么有残奥会，却没有专门为我们弱智设计的数学竞赛？,153、领养和代孕有什么本质区别？<br>答：一个能减少孤儿，另一个会制造孤儿,221、最近身体越来越差了，晚上在床上躺着躺着突然就失去了意识。,3.72,200、每年死于交通事故的鲨鱼几乎为零，可见鲨鱼十分遵守交通规则。,3.72
139,002、多多被歹徒残忍地分尸杀害了，他的爸爸妈妈号召了朋友圈一起来拼多多,194、大师，您刚刚玩的是素人，所以不算破戒,223、川普大总统决定把华盛顿改名为普京,167、今天我将用这块砖头教大家如何自拍,152、“你居然不吃这套。”肯德基点餐员失落地说道。,220、马上毕业了却没学到任何东西，我还真是个傻毕呢！,3.73,199、“那个四字的流量是真的多啊！”<br>“哪个四字？”<br>“中国移动。”,3.73
140,001、祖坟冒烟被环保局查封,193、第一次相遇是奇遇，第二次相遇是偶遇,222、无神论店员对顾客视而不见。,166、我的导师和我是完全相反的人，他很push，我却很拉,151、我教给每只鹦鹉一个字，然后把这群文字放归辞林,219、五一假期的五一意思是不是假装放五天实际放一天啊。,3.73,198、网红刽子手全国巡砍,3.73
141,000、这贴得分比前十加起来都多，不过因为是长篇不参与排名。,192、“爸爸，我是怎么来的？”<br>“*你妈。”,221、柯南破案时大脑转得飞快，帮小兰把脏衣服都洗了,165、悲伤的食人族吃甜品的时候会不会撒一点心碎？,150、“所以，i是会消失的对吗？”外部环境向for循环代码块问道。,218、中国主机游戏率先进入次世代！拿到版号的几乎都是次品！,3.73,197、电影院为了给观众视觉上的冲击，工作人员开场时向观众投掷震爆弹。,3.73
142,152、小区物业为每位保安都配发了歼-20,191、魔术师摘掉手帕笼子里依然什么也没有，观众纷纷鼓掌“他变出了真正的鸽子”,220、你以为你战胜了命运，其实战胜命运也是命运的一部分。所以命运其实就是个大型套娃,164、用户FeCl2再与博主Zn互动一次即可获得铁粉标识,149、“我晚上梦见我数学大题全错”<br>“梦跟现实是相反的，所以你至少对一道题”,*217、日本首相演讲效果太差导致群众不得已发送弹幕护体,3.73,195、贾宝玉出生时嘴里含着玉为什么不取名叫宝国？,3.73
143,153、别紧张，在我这里接受治疗，出去时都很安详。,190、黄盖忘了安全词，然后被周瑜活活打死了。,219、海天盛筵上宾客们纵情畅饮总共喝掉了两万瓶海天酱油,163、“他奶奶的”<br>以上就是我对某位小奶狗的评价。,148、如果我改名叫鲁滨孙，星期五会不会来得快一点。,216、网友互飙脏话，飙到没词了，飙点符号。,3.73,194、“摩斯密码是什么字体？”<br>“线粒体。”,3.73
144,154、网球选手王老汉使用电蚊拍第一球就使对手触电身亡。,189、割破了手上的茧，为什么没有变出蝴蝶？,218、是弱丨智吧创造了弱丨智，还是弱丨智创造了弱丨智吧,162、这么早就想睡觉了？做梦去吧,147、打字用缩写的都是sb,215、上天堂，有主见。,3.73,193、“我们清清白白！”溥仪和清廷告别。,3.73
145,155、我诅咒你买骨灰盒没有调料包。,188、他宠溺地揉了揉她的头，然后把团成一团的头扔进了垃圾桶,217、犹豫要做作业还是休息的小明决定一不做二不休，竟陷入量子叠加态。,161、逗猫棒，狗都不玩。,146、雨下得很轻，因为天空也怕哭出声。,214、断人财路如杀人父母，没收孩子压岁钱的家长被王警官判定为自杀。,3.73,191、“酋长让你多做点肉干，赶快去干活。”<br>“我不干，有的是人干”食人族厨师指着不远处的架子说。,3.73
146,156、我家三代杀猪，屠猪无数，从来没有一头猪是被冤枉的。,187、黄网遭黑客攻击，SM专区全他妈是周瑜打黄盖,216、“天下最难写的就是自己的名字，王爷还年轻，让老臣来吧”李鸿章拿过恭王府花园的房产证，签上了自己的名字。,160、为了给家里续香火，我出家了,145、鲤鱼打滚的时候只要够快，就能成为驴打滚。,213、我司举办的第一届举报大赛因被举报而无法按期举办。,3.73,190、资本主义萌芽没有得到发展是因为早有清廷立上头,3.73
147,157、急死我了老婆刚出产房生了个儿子可是孩子他爸一直不来怎么办,186、为践行垃圾分类，尸体和棺材要分开埋,215、一日为师，为师就痛,159、我把时间当作被子，翻身做了个四维的梦,144、“这是我的new idea。”北京人更改ID时说道。,212、<br>由于高考分数很不理想，小明决定：<br>由于高考分数很不理想，小明决定：,3.73,189、秦始皇统一五十州之后，规定性别只有两种。,3.73
148,158、红十字会花重金请心里专家进入贫困山区，帮助当地人民顺利以乐观的心态坦然面对贫困生活,185、英国脱欧从此没抽到过ssr,214、贝爷：这是牛肉，吃起来像虫子，蛋白质是虫子的0.2倍,158、人的人性就像他的母语，每个人都说没什么好考，真到考的时候又反而没几个高分。,142、道德绑架的人为什么要绑架道德，自己没有吗？,211、考研猝死追封硕士吗？,3.74,188、车同轨方便游历，书同文方便讲学，我们儒生的好日子就要来了！,3.74
149,159、听力考试刚开始王老汉连放八十八个连环响屁一考场学生都交了白卷,184、睡意来袭，我从枕头下掏出枪准备还击,213、王警官在卖淫窝点卧底一年后喜得贵子,157、读博士的前提是研毕,141、文字太苍白，描述不出雪的颜色,210、《聊斋》一看就是蒲姓男写的。,3.75,187、蹲坑的时候突然大小便失禁了怎么办？！,3.75
150,160、金条无铜，盗之无用,183、“各位评委不瞒你们说，三年前一场车祸夺走了我的生命”,212、小时候家里困难，在别的同学都在跟父母要钱的时候，我早早就学会了从低年级的同学那里要钱,156、日记：2002年12月18日<br>天气晴<br>我可能得拖延症了。,140、只要你每天挤出两天的时间学习，你的学习效率至少是他人的两倍,209、过年福字要倒着贴，为什么不生产倒过来的福字呢？,3.75,186、本想年初一和女朋友领证，可惜民政局又没开门，只能明年再试试了,3.75
151,161、歹徒全身绑满黄片导致警方不舍得开枪,182、国家应该把拉屎冲不走的特异功能人士召集起来为防洪抢险事业尽力,211、百年树人，七百年周树人,155、职业玩家比普通玩家强，所以职业高中比普通高中强,139、范进中举后喜极而疯，这个故事流传到了日本，史称《进击的举人》,208、街头惨遭车祸。遇害者被反复碾压目击者称是同人二创。,3.75,185、上海富婆对小明说：“记得来沪上阿姨”,3.75
152,162、为了降低房价我市引进天罡地煞破坏学区房风水,181、“你看今晚的地球格外的圆。”嫦娥抱着玉兔喃喃道。,210、化学老师指着一罐锑向学生介绍道：“这是纯Sb。”,154、王老汉把两台电视机屏幕对在一起，贞子来回爬最终活活累死,138、解决内卷的方法：读书破万卷,207、“寻寻觅觅冷冷清清凄凄惨惨戚戚”，李清照这牌，能胡七对。,3.75,184、匡衡凿壁偷光，被邻居骂削壁崽子。,3.75
153,163、我读人力资源要毕业了，不知道能否胜任人力车夫这个职业,180、听闻食人族班主任爱吃脑花，同学们考试纷纷交了白卷以示自己没有脑子,209、“说说知乎贴吧微博共同点。”<br>“哈哈哈哈哈哈哈，对不起，有被删到。”,153、死亡是一种高度超过了身高的高位截瘫。,137、酒精+水可以组成恒沸物，酒精+我可以组成铁废物。,206、你们发现没，当你意识到你在呼吸时，就从自动挡变成了手动挡。,3.75,183、为了维护车祸案发现场，王老汉毅然将汽车停在了伤者身上。,3.75
154,164、趁我不在点我名算什么英雄好汉，有本事挡着我面点啊,179、科学家用了15年时间搭建时光机器，一不小心，回到了15年前。,208、女神对我忽冷忽热两个月之后我终于感冒了,151、小明请科学家给自己的钻石定价，科学家认为是0价,136、遗书就是自己给这个世界的辞职信。,204、为防止考生作弊，监考老师直到考试结束都没有下发试卷,3.76,182、每次喝塑料瓶里的水都要往里面扔石头好麻烦啊！,3.76
155,165、加入邪教后教主苦口婆心的每天训斥我不要盯着女恶魔的奶子看个没完,178、海洋污染问题越发严重啊，我看小美人鱼都黑了,207、小明分裂出404个人格，因无法访问其他人格而治好了人格分裂,152、普通人身上长老年斑，老年斑身上长老年柱间,135、因为我很双标，所以别人不能双标。,203、“等我CD好了，我屠死你们。”周杰伦对榜单说。,3.76,181、宁教我负天下人，休教天下人发现。,3.76
156,166、奉劝屋内的人赶紧投降，不投降我们就下班不包围你了。,177、普通的猫有9条命而精通计算机的猫有1001条命,206、历史是由胜利者书写的，所以整个春秋战国没人打的过司马迁。,150、天生的哑巴，是不是也可以叫初音未来？,134、初音未来的演唱会没看到她，因为初音未来。,201、为什么西游记不请唐僧本人来演呢，他不是长生不老吗？,3.76,180、新年将至，每个美国家庭都会购置来福枪祈求来年的平安好运。,3.76
157,167、养了三年的小狗才知道是当时产房抱错了,176、听说秦始皇统一中国时海军和空军零伤亡,205、土是无冕之王,149、广东人炒面，厨师是广东人<br>福建人炒面，厨师还是广东人,133、垃圾桶原来是圣诞树<br>我看到它开满了花<br>还挂了许多的小礼物,200、色即是空，空即是色。——摘自《浏览记录》,3.76,179、P和T合照，P很漂亮了，PPT吧。,3.76
158,168、对于早恋现象在我院的帮助下已有3名小学生喜结连理,175、毕业3年，在学校学的东西已经全部还给老师，学费为什么不退我,204、老王超前消费，已经在使用纸钱了。,148、“你是不是很会拆台，来表演一个”<br>“不会”,132、南村群童欺我老无力<br>翻译：南童竟在我身边,199、不熬夜加班以后怎么吃更贵的药。,3.76,177、穿戴整齐站在桥边会被人当成自杀但是如果你只穿内裤别人就会觉得你是要跳水。,3.76
159,169、许仙许仙你老婆把葫芦娃抓来了,174、现在的年轻人啊，真的没有老一辈人年龄大,203、“要一份醋溜土豆丝，一份凉拌苦瓜，一份冰糖糯米藕，一份大拌菜……”<br>“等等，你要素过多了！”,147、文字太空洞的时候，你敲敲书页，能听见回声。,131、许愿池前，我投出硬币祈求早日脱单。<br>硬币落入池中，发出“孤独一生”。,198、食人族出师表：侍中、侍郎郭攸之、费祎、董允等，此皆粮食。,3.76,176、我们把老师比作园丁，是不是因为学生太菜。,3.76
160,170、斩首101赶快pick你喜欢的选手，给他点赞把他送上断头台。,173、歌手人设崩塌砸死台下观众,202、为响应文化自信，我的世界俄服改名俄罗斯方块,146、“总有一颗星星会奔我们而来。”——恐龙对它的同伴说,130、我心底燃起了希望，就像坟场里升起了太阳,197、刚入宫大清就完了，白切鸡。,3.76,174、刘备一惊，筷子落在地上。还好此时空中惊雷炸响，机智的刘备借着雷声的掩饰，砸开污水管道爬走了。,3.76
161,171、王院长听过讲节约成功浪费了大家半天的时间,172、自来熟的小张又让食人族省去一道工序,201、他一再刷新我的底线，终于我的底线变得流畅起来,145、鉴于我们还没活多久，可知想死只是一种思乡,129、既然监狱里全是罪犯，王警官为什么不去监狱里抓人,196、“再来一条！”导演对坐在马桶上的演员说。,3.76,173、为什么医院床位那么紧张，不弄成上下铺呢？,3.76
162,172、将树拔起就能看见它沾着土的阴毛,171、年幼的皇子面对追杀来的叛军，机智地掏出未成年人保护法,200、“谢谢你们平息了战争。”<br>法国人：没什么，举手之劳而已,144、曹操：“今天下英雄，唯使君与孟德耳。”于是刘备改种豌豆。,128、高考的记得记一下自己的名字，那个必考,195、小明出柜宣言：哥本哈根。,3.76,172、王警官在抓捕行动中不知好歹，误将歹徒中内应击毙。,3.76
163,173、家长会上，老师指着一名家长对另一名说这是你亲家。,170、这碗孟婆汤，不喝不知道，一喝不知道，二喝不知道……,199、王警官对绑匪照片中眼部放大，果然看到了绑匪眼中的哈姆雷特,143、我的梦想是做一个潇洒自在的人，现在终于完成了一半，做了一个洒自。,127、杨永信，中国教育电击人。,193、您与全世界其他人都不是朋友关系，请注意隐私安全。,3.76,171、英语听力考试总是听到两个人在广播里唠嗑，都干扰我做题了。怎么能把那两个人撵走？,3.76
164,174、昨日在肯德基吃饭多拿了一张纸巾，今天肯德基已申请破产保护。,169、就像一枚硬币有正反两面一样，纸币也有正反两面,198、曹操于城楼上问夏侯惇：“你瞧到了什么。”夏侯惇说：“瞧到马岱。”,142、我妈就像一个宠物小精灵里的图鉴一样，每当你看到陌生亲戚的时候：“这是你二表姑”,126、坏掉的东西，还能修好。可是坏掉的感情，岂可修,192、给车安装了智能避障系统，现在我的车见了我就跑。,3.77,170、三十岁当爹，又当又立。,3.77
165,175、鬼门关开放第一天游客达2亿人次，地府旅游局提醒请勿随意骚扰女鬼,168、冷天，小孩子往妈妈身上挤，却被人骂：你蹭你ma热度呢？,197、“关关雎鸠”这句诗一语双关。,141、食人族吃我的时候会发现刻在骨子里的孤独吗？,125、宝剑锋从磨砺出，梅花香自薄壁组织中的许多油细胞,191、扇贝属于贝类，绝非扇类。,3.77,169、写遗嘱的时候因为拖延症错过了deadline怎么办？,3.77
166,176、为了降低考试作弊人数，校长急中生智请来了黑白无常,167、超市竟然贩卖人口，我亲眼见到好多购物车上有小孩,196、王警官对案件抽丝剥茧，成功做出一床棉被,140、每次我把垃圾扔到垃圾桶时，我都有一种大义灭亲的自豪感,124、世上本没有来去之间，阴阳人多了，也便成了来去之间,190、轻生是因为相信人会有重生。,3.77,168、公司老板果然是伯乐，一眼就看出来我是牛马,3.77
167, ,166、狙击手隐蔽大赛上第一名迟迟不来领奖，后经查证已被割草机杀死。,195、如果说阎王通过生死簿掌管世人的寿命，那他是不是可以叫寿司？,139、男儿膝下有小腿,123、每个人会死两次，第一次是没了呼吸，第二次是互联网搜索记录被翻了出来,189、可恶啊，明明大学四年玩得那么开心，为什么还是找不到工作？,3.77,167、当代大学生精神状态是真的很差，不然怎么那么多大学附属医院。,3.77
168, ,165、“我去找点零花钱”说罢这个帅哥就去了成都,194、连时髦这个词都没那么时髦了,138、一句话概括白居易的《茅屋为秋风所破歌》：破房了,122、小明因为没买VIP，被广告商判了有期徒刑15秒,188、CO₂——发自《肺腑》,3.79,166、沥青那都是烂大街的玩意了。,3.79
169, ,164、“你能不能不要走！”体育老师对着参加1000米考试的我说到,193、小明C语言学得不好，只能说点B话。,137、“好好的中国人放什么洋屁！”<br>“不能同意更多。”,121、粉丝行为请不要上升到扇贝,187、听说在云南那边吃了君子就会看见小人,3.79,165、因员工本月加班超过44小时违反了劳动法，企业将员工告上法庭。,3.79
170, ,163、“你自己掰了一千吨玉米？！”<br>“哈哈我瞎掰的”,192、回光返照，又叫死亡冷静期。,136、我走在斑马线上，来往车辆纷纷为我让行，因为我脚踏黑白两道。,120、四维生物比划道：“大概这么久。”,186、海绵宝宝参加完银趴哭诉大伙无孔不入。,3.79,164、程昱建议曹操不要小瞧周瑜，曹操说可以不要周瑜。,3.79
171, ,161、“我没牙刷了。”80岁的张大爷说,191、猫咪妈妈严厉地对小猫咪说道：“喵喵喵喵喵喵喵喵喵喵！”,135、屎对我说：拉我一把<br>我说：好<br>可它却掉了下去,119、杀不死你的东西只会让你活着。,185、学生自杀率居高不下因为没有课程教他们学生,3.79,163、说明书是书，书是人类进步的阶梯，说明书是人类进步的阶梯。,3.79
172, ,160、上课的时候小明被老师点名答题，小明说：谢邀。,190、报告老师，本次人体写真课程应到39人，实到五百八十人。,134、100℃的水泡方便面需要三分钟，那我用—100的水泡是不是就在三分钟前已经泡好了,118、我发现我的爸妈简直是天生一对，他们甚至连结婚日期都是同一天,184、设计师老王为了体现自己学过微积分，把楼梯都改成了滑梯。,3.79,162、如果屈原觉得不应该说端午快乐，那他为什么不冒个泡？,3.79
173, ,159、仔细观察五小时后王警官最终断定死者于一小时前死亡,189、懒惰是我的天性，你让我勤奋就是在性骚扰,133、吧主，有没有可能有很多人本来想和你说话，但被你当投稿发了呢一个猜想不一定对,117、“要一直看着我哦。”<br>“嗯嗯。”<br>太阳与向日葵的告白,183、弱智吧日常，字2021年，号被禁言半年。,3.80,161、爸爸说要去参加小学同学聚会，结果到场的都是成年人，现在读小学的都是成年人吗？,3.80
174, ,158、两支502扭打在一起，他们打得是不可开胶,187、警方从王老汉背包中查获数包白色粉末，王老汉辩解称都是假和平星,132、武则天：要大碑的，全唐，无冰无字,116、我家洗砚池边树，挨着我家洗砚池,182、蜀道难，吴路塞，魏道还行。,3.80,159、赫拉克勒斯看到被缚的普罗米修斯说：“想火想疯了吧？”,3.80
175, ,157、有礼貌的小明在石头剪刀布时将剪刀头对准自己。,186、投胎时能不能不服从调剂？,131、一场雨后，天空和地面互换了身份，抬头万里暗淡，足下星河生辉,115、一天一个苹果，医生远离我。一天半个苹果，医生在远离我的边缘试探,181、“我去做核酸了。”DNA聚合酶说。,3.80,158、关于鸡蛋的蛋清好吃还是蛋黄好吃，蛋白粉和蛋黄派争论不休。,3.80
176, ,156、女孩子晚上睡觉不可以盖被子喔，因为昼夜温差大会更甜,185、“我也是公知了！”这是雄蝉被同类强暴前最后一句话,130、我在看星星时会想起某个人，却又在看那个人时想起星星。,114、只要我还活着，就绝对不会让人类灭绝这件事发生,180、这次演员能火，是因为灯光师给聚光灯换上了凸透镜。,3.80,157、他们这么恨我，我一定是动到了谁的蛋糕”被追打的蟑螂说道。,3.80
177, ,155、今天是姜子牙生日，转发这条消息即可成为玉皇大帝,184、既然失败是成功之母，那这把我输了叫对面一声儿子不过分吧,129、我也想和月牙一样，把不满写在脸上,113、擅长苦中作乐的小明在高强度加班时活活笑死,179、她说：talk dirty to me，于是我只好给她说了一些韩国体育史。,3.80,156、秦始皇坑儒，为子孙后代储备石油。,3.80
178, ,154、满腹经纶的小明竟被查出有异食癖,183、小鸭子们今天体测，一开始大家都挤在一个赛道，场面十分混乱。于是体育老鸭临时决定让大家一鸭一鸭游。,128、小明这银行，能储。,112、“你是不是走错方向了？”<br>“没关系，我去的是罗马”,177、0走进gay吧打招呼：hello everyone！,3.81,155、装过屎的大肠有人吃，但装过屎的马桶却有人难以下咽。,3.81
179, ,153、色盲在妻子的帮助下，成功看到了绿色。,182、小明落选心理委员后心情低落，同学们纷纷劝导小明去找心理委员开导,126、真正的友谊就是两个人坐在一起时，不做爱也不会感到尴尬,111、好消息，由于大门忘记锁，本院病人于今早全部出院,178、想成为精神内猫，专治精神内耗,3.81,154、我是淘宝死忠粉，手机只安装了淘宝和它的多个摇一摇版本app,3.81
180, ,152、天气晴朗，植物人伸出肺叶开始光合作用,181、韩国人欠的钱也叫高丽贷,125、der是骂人傻的意思，under是不是夸人聪明？,110、你永远不会死，死亡存在你就不存在，你存在死亡就不存在。,176、由于人生地不熟，我的人生迷路了。,3.81,153、保质期一年的东西，本该过生日的日子，却被扔掉。,3.81
