index,2018年度,2019年度,2020年度,2021上半年,2021下半年,2022年度,2022年评分,2023年度,2023年评分
249, ,081、我叫斧新，最近减肥瘦了两斤，你也可以叫我父亲,112、“难道菜就不能打游戏吗？”大白菜坐在电脑前愤怒地说到,056、根据《史记》记载，荆轲刺秦王未成使得秦王大怒，那么如果成功了的话秦王会大喜吗？,040、愚公发现用了耗子药家里的耗子就没了后，通过类比法买了两斤山药成功移走山,105、女娲创造了人类，人类也创造了女娲。,4.00,*076、我本以为饭里疑似出现鼠头是今年最恶心的了，没想到今天又听说粥里疑似出现孙笑川。,4.00
250, ,080、我常因为不够变态而和你们格格不入，小蝌蚪对爸妈说,111、今晚月色真美，相比之下你真是丨丑丨得丨批丨爆丨,055、遗憾其实是一种时态，过去未完成时。,039、你要是把开水放凉了，那它就是白开了,104、陈睿打游戏，我的叔叔娱乐。,4.00,078、双重否定表示肯定，我在夸你呢，沙贝丑八怪。,4.00
251, ,079、“这家回转寿司种类真少。”食人族王老汉站在旋转木马前说到。,110、煮豆燃豆萁，豆问红豆泥？,054、「好怪，再看一眼！」悟空开始上下打量女妖精。,038、“借个火。”老丁对边上的小伙说。“行！”小人对老灯说。,103、数学有奇数和偶数，文学有奇遇和偶遇,4.00,075、怕影响孩子高考，至今不敢告诉他十八年前已经被我打掉了。,4.00
252, ,078、随着裁判员的一声枪响，最后一名运动员也倒在了血泊之中。,109、手术很成功，两碗粉都保住了,053、今天班长统计衣服尺码，xs，根本穿不上。,037、妈妈的爱是我走向死亡路上的绊脚石。,102、“你愿意接受我的一切吗？”刽子手行刑前问犯人。,4.00,074、协和医院治不好的患者都转到火葬场了，是不是说火葬场是协和医院的上级医院？,4.00
253, ,077、我眼泪总是不争气地往下流，如果争气的话我眼泪应该往上流。,108、写作业时我采用了欧亨利式的手法，写到一半不写了。老师采用了倒叙的手法，给了我001分。,052、光着急没有用，速度没法超越 299792458 m/s,036、成年人的崩溃从算了开始，计算机的崩溃从不算了开始,101、“食物中毒了！”食人族将被毒蛇咬伤的病人紧急送医。,4.00,073、送外卖。开门取餐的阿宅很没礼貌，是个凶宅。,4.00
254, ,076、我发现现在孩子体质越来越差了，记得很多年前我打一个小学生都费力，昨天我一口气打了五个，轻轻松松,107、热爱二次元文化的小明把ACG刻进了DNA里，于是体内多了一个苏氨酸,051、我目视前方，余光中写出了《乡愁》。,035、因为宣传狼性文化，这只狼在狼群里被视为色狼。,*100、菊势紧张是因为大便窜访,4.00,072、口和吕，其实是残次品。,4.00
255, ,075、王警官看破真相之后导致真相不完整。,106、我妈问我房间的灯关了没，于是我特地开灯检查了一遍，果然没关。,050、午睡太舒服了，建议每天醒来第一件事就是午睡。,034、阴间规定：禁止过阳节,099、所有人都只关心你飞得高不高，只有我不关心。,4.00,070、排队的时候发现自己被陌生人尾随了该怎么报警？,4.00
256, ,074、他死了关我什么事，我埋他的时候他还活蹦乱跳的呢。,105、川老汉为了继续当总统，各路神仙都拜过了，唯独忘了拜灯,049、之所以不和我的叔叔联系，是因为于勒圈里的事情太脏了,033、愚公移山为什么不找精卫打工，精卫填海为什么不让夸父先喝掉点，夸父追日为什么不到后羿那要现成的,098、西瓜的味道真的跟西瓜汁一模一样，简直是西瓜汁平替，我愿称之为固体西瓜汁。,4.00,069、医生兴高采烈地向家属宣布，病人不心动挑战成功。,4.00
257, ,073、纯路灯，发一点客观的光。,104、被世人看扁的我，终于如愿以偿的成为了二次元。,048、河南人给中评相当于给好评,032、为什么要感到伤心，难道你的生活还不够可笑吗？,097、考虑到醉酒易致交通事故，酒量或将成为科目二考试项目,4.00,068、压死骆驼的最后一根稻草也是压死骆驼的第一根稻草。,4.00
258, ,072、越王勾践第一次看到一身是胆的赵云就沦陷了,103、小明回家给父母拜年，父母：“谢谢，真的有被孝到”,047、你这台手术成功率很高。因为这类手术成功率为10%，而我今天已经失败九台了。,031、开关是灯的日出日落，日出日落是灯的开关。,096、“能不能给我换个宿舍，我舍友个个都像罪犯！”我向狱警投诉道,4.00,067、nnd，早知道最后被第三志愿录取，第三志愿就应该填清华的。,4.00
259, ,071、小明误食风油精之后满嘴风凉话,102、我给您呀开两副药，您拿回去熬好了倒掉，咱权当没得过这场病,046、人与其他动物最本质的区别就是人不是其他动物,030、因为铜没有磁性，所以世界上的铜都是男铜,095、拖延症都是通过后天习得的，今天就先不学了。,4.00,066、为什么电话打久了手会酸？因为电话pHone。,4.00
260, ,070、小明在正月接发竟导致舅舅复活,101、“不要打捞我，我有权保持沉没。”沉船说。,045、犯人临死前对刽子手说：“我学生党，能小刀不？”,029、考试抄邻桌时南山区律师冲进来控告我盗用商业模式,094、感觉大家和大思想家就只差思想了,4.00,065、“大小眼用英语怎么说？”<br>“Eye”,4.00
261, ,069、通过给患者引导出一个食人族人格，患者的多重人格一天少了三个,100、以前的货币居然是大洋，要知道世上仅有四个大洋，大部分是液体，用起来太不方便了吧,044、我把硬币丢进许愿池里，池中仙女问哪个是我丢掉的愿望。,028、屡试不爽：经常去面试，还是找不到日薪208万的工作,004、胃部手术时王医生找不到手术刀，无奈之下只能拿咸萝卜开胃,4.52,064、我觉得上有老下有小是在形容我的外貌。,4.52
262, ,068、王老汉因昨晚睡觉时去了6次厕所，被评为年度起夜家,099、“朋友在某些情况下打断你的话其实只是无奈之举，因为他不能直接打断你的腿。”,043、看着夜空中划过的流星，我没有许愿，而是对着它说了声再见。第二天晚上，我又见到了那颗流星。,027、学校查早恋，我主动承认了，老师问清了情况，告诉我，你个傻子这不叫早恋，你们只是朋友关系,003、通过校领导的不懈努力，终于将五一请假通过人数清零！,4.54,063、公交车太可怕了，每次我看它停靠在路边，路边就会有人消失。,4.54
263, ,067、“别给我抹药，我有发炎权。”伤口说,098、由于太多的学生在课堂上睡觉，老师决定以托梦的形式给学生上课。,042、声音的传播需要时间。我们面对着说着话，我在过去，你在未来,026、古代公务员为什么也叫staff,002、很多人说的看不到未来其实是看到了未来,4.57,062、你每次一笑，都能牵动我的神经。医生，给我做手术的时候能不看弱智吧精选吗？,4.57
264, ,066、去美国参加高考比较合算，邻居去美国参加高考考了100分，回国后按照汇率换算为700多分，顺利进入清华就读。,097、刚到国外没事做，准备去领事馆领点事来做。,041、当别人在乎你飞得高不高时，只有我在乎你为什么能飞。,025、有目的地的人生才会迷路，我只是来世界散步。,001、工人罢工后就成为了人。,4.60,061、“打仗打的就是后勤”说罢王将军令人将厨师塞进炮筒。,4.60
265, ,065、造星公司操作失误，旗下艺人纷纷坍缩成黑洞,096、你家孩子很活泼嘛，静置能与空气发生反应。,040、天才就是百分之九十九的天才加上百分之一的天才。,023、加了凶手微信好友的王警官终于在一次追捕行动中超过了凶手的微信步数。, , ,060、谷爱凌梦见家里失火吓得赶紧打119，还好梦是反的，她要打的是911, 
266, ,064、某当红流量小生被爆最喜欢的颜色是僵尸粉,095、过敏是和这个世界不兼容,039、拿枪指猫，<br>问：汝几条命<br>猫曰：9命,022、“抓小偷啊！”话音刚落街上的韩国人立马躲了起来, , ,059、我向佛祖许愿，佛说：समझ नहीं सकता（印地语，意为：无法理解）, 
267, ,063、在路边撒尿的我为了掩人耳目，只好大声唱歌，伪装成洒水车,094、说到底，这个字的英文是Bottom，中文笔画共有八划,038、深夜走进便利店收银员说：“你这全家就你一个人啊？”,021、因为这种树很通人性，所以在东北被称为银杏树。, , ,058、大英博物馆发生严重盗窃案，负责人发文哭诉同行内卷。, 
268, ,062、没有一例手术成功的王医生被评为医院的主宰,093、我问我的舍友们学历，发现他们都是985的，看来985真的已经烂大街了,037、这里的士怎么都没了，我还想打车呢，看来只能把炮退回来了,020、既然考不上，那我就二战了——阿道夫·希特勒, , ,057、就算我杀了人，警察不敲门就闯进来也太不礼貌了吧, 
269, ,061、小明在美国买彩票中了100刀，于是直接进了医院。,092、你知道吗？赤道连起来可绕地球一圈。,036、网络上nt多是正常的，毕竟Internet里面都有两个nt,019、我用睡眠代餐死亡, , ,056、喝过氧化氢的注意了，过氧化氢不能喝。, 
270, ,060、阿拉伯歌手开演唱会引爆全场,091、听说上帝是个女孩，这是怎么回事呢？相信大家也感到困惑。为了一探究竟，小编这就带大家一起去见上帝。,035、博士毕业的人都很聪明，为什么国家不给每个人都授予博士学位，让每个人都变聪明？,018、真相浮出水面，说明ρ真相＜ρ水, , ,055、“还有8个学生没起床？”<br>“老师，是9个，你少瞧不起人了。”, 
271, ,059、杨警官执行任务时不慎跌入粪坑，成为一名便衣警察,090、新生儿不会说话是因为地球设置了关注一年才能评论,034、对着镜子中的自己开了一枪，但镜子中又多出了无数个我。,017、我们自豪地宣布，在本吧今年的英明指挥下，地球又安全地绕了太阳一圈！, , ,054、我怀疑那些新闻记者都是机器人，不然为啥自称“本台记者”。, 
272, ,057、自从镇里开了家花甲店起，附近六十多岁的老人就经常神秘失踪,089、人类患上阿尔茨海默氏症是因为过了保智期,033、皱纹是时间吹过身体时泛起的涟漪。,016、我闭上眼睛触碰星空，阅读宇宙留给我的盲文。, , ,053、经历巨大痛苦之后，王老汉终于明白了点烟器和飞机杯的区别。, 
273, ,056、由于网速过慢，脱好裤子的老王也只能缓冲,088、最脑瘫的句式是什么？自问自答式。,032、为什么大兴机场相当于五个标准足球场大小，却一场球赛也没办过？,015、“让我们做一些关了灯才能做的事情吧”<br>“开灯”, , ,052、王老汉找人拼命，现在两人共用一条命。, 
274, ,055、这家店很诡异，在外面看，它挂着“营业中”，进店里就变成了“已打烊”。,087、小明突然出现在我面前以至于我突然出现在小明面前。,031、狼被怀疑是哈士奇，立刻声明狼籍。,013、妈妈看了《我刷的碗》之后忍不住二刷了, , ,051、冷知识：冒号前面的才是冷知识。, 
275, ,054、虎毒不食子，专家建议野外遇到老虎可跪下认爹,086、为了弘扬正能量，以后《天气预报》中的坏天气将不再播报。请各位市民好自为之,030、年级：2017<br>学院：翻译<br>系：广东人,012、我在冬天把邻居埋在了后院里，来年春天后院里开满了警察, , ,050、毕业一年，经过我的不懈努力，如今的积蓄已经足够自己下半辈子不吃不喝了。, 
276, ,058、我丨草丨你奶奶给你生个爸爸让你们一家团聚。,085、哆啦A梦从事微商后改名“A哆啦梦”。,029、我宣布银牌和铜牌没有任何含金量。因为它们分别是银的和铜的。,011、王警官用卸妆水清掉了敌人的眼线, , ,049、悬疑短文比赛上，王老汉竟靠这个方法获得了冠军。, 
277, ,053、孔乙己打开一瓶一氧化二氮，店内外顿时充满了快活的空气,084、半径越大，直径越大,028、“谈判专家不戴护具太危险了”<br>“没事，他普通话二级甲。”,010、我长大了想当资本家，爷爷奶奶可高兴了，给我最喜欢的人血馒头吃, , ,048、王警官在现场勘察了4个小时，终于发现了案件还没有发生。, 
278, ,052、姚明宣布进入文坛，一位文学巨人从此诞生,083、种族歧视又叫做以色列人,027、卷子上我考了0分，被人提醒成绩单拿反了，原来我考了0分！,009、希望大家可以爱护海洋环境，我在网上冲浪时看见了好多垃圾。, , ,047、“我的法力不比如来佛差，你是怎么逃出我的手掌心的？”耶稣不解地问孙悟空。, 
279, ,051、小伙为了自杀，竟然付出了生命的代价,082、我不同意你的观点，但我誓死捍卫我不同意你观点的权利。,026、我的母校，清华大学。这是两所学校,007、猪为了不被做成东坡肉，毅然跳出了苏轼圈。, , ,046、我们购买美国产品花的钱，会被做成美国子弹，用来枪击美国人。, 
280, ,050、会不会我才是精神病而王医生才是正常人呢？,081、我觉得我就是酚，除了苯，就是醇。,025、你们都说我是弱智，其实只有我遵守了当年一起不长大的约定,006、大学生活要大学生死。, , ,045、“你是清朝来的吧？”人们纷纷赞叹朱元璋思想先进。, 
281, ,049、你一旦多活了一天，你就少活了一天。,080、田忌赛马，吉普赛人。<br>木已成舟，蚂蚁森林。<br>臣本布衣，草本植物。<br>十年树木，一周树人。,024、鱼藏在水里，躲猫猫。,005、燕子叽叽喳喳叫个不停，“咏春？”叶问。, , ,044、医生说：“吃点好的。”于是我把我在工作群的回复都吃了。, 
282, ,047、法官出示了圣经中“上帝无处不在”的章节，推翻了上帝的不在场证明，目前上帝已被判处死刑,079、为什么说老师是园丁，因为园丁的工作就是把植物摆弄成自己想要的造型。,023、地下赌马是不是也叫私密马赛？,004、这台手术很成功，我失败的人生结束了。, , ,043、镇关西挨了三拳后心领神会，晚上三更准时来到鲁提辖的房间。, 
283, ,046、银行回收破损人民币，被举报恰烂钱,078、一日为师终身为父，小明跪在病逝的小学老师灵前，和老师的几个子女争起了遗产,022、知识都让好学生学完了，害得我学不到,003、学校组织男同学去羊圈参观，因为那里充满了羊肛之气。, , ,042、生活小妙招：在野外迷路如何使用手表辨别方向。手握手表，松手使其自然落体，手表坠落的方向就是下方。, 
284, ,045、病毒入侵人体，杀死并劫持正常细胞，大量细胞沦为细胞质,076、“真可怕，犯罪嫌疑人就在我们俩中间”被告席上一名法警对另一名法警说,021、能让人快乐的东西，例如：烟，酒，都会损害寿命，那么是不是让人不快乐的东西就是生命本身呢？,002、人是铁饭是钢，食人族酋长望着逃走的俘虏恨铁不成钢, , ,041、孩子年纪轻轻就得了甲沟炎，走得很痛苦。, 
285, ,044、王医生通过约分成功将病人的血压从180/120降到了120/80,077、昨天出门的时候脚不小心踩到地球了，一直黏在我脚上怎么甩也甩不掉，好恶心,020、要断章取义——节选自《不要断章取义》,001、屎是米的尸体，尿是水的尸体，那么屑是什么？, , ,040、皇帝感叹道：“孤的胜，你们都看在眼里；孤的败。”然后就退朝了。, 
286, ,043、男子意外失去左臂后身残志坚靠右手判断洛伦兹力,075、我们的身体里藏着一具骷髅。,019、海伦凯勒的作品《仅三天可见》, , , ,039、小明做选择题时被题目整笑了，故选:D, 
287, ,042、熊孩子参观博物馆，脑袋卡在编钟里，消防队历尽千辛万苦敲碎后保住了编钟。,074、红萝卜说白了就是白萝卜,018、“死罪可免，活罪难逃！”<br>我被判决出生。<br>, , , ,038、“弱智吧有哪些著名的景观？”<br>“王警官。”, 
288, ,041、余忆童趣时，能欺杜甫老无力。,073、语文老师告诉我作文结尾最好要有升华，于是我在结尾写下了樟脑丸在柜子里变小的例子。,017、知名piano艺术家忘n负义, , , ,037、既然快递要3天才到，为什么不把所有的快递都提前3天发。, 
289, ,040、小王在雪地里用钻戒向女友求婚，真是雪中送碳,072、视力检查加入高考，学校家长纷纷让学生背诵视力表,016、一个合格的葬礼除了要埋葬已故的人的肉体，还要埋葬活着的人悲伤的情绪。, , , ,036、丈夫自称龙的传人，不料妻子竟生下个黑宝宝。做完亲子鉴定虚惊一场，原来是个乌龙。, 
290, ,039、这是图啥呢？斯大林指着检阅场上空的飞机问道,071、“我找到一样东西。”<br>“什么东西？”<br>“和你聊天的借口。”,015、“音乐不需要有太多人欣赏，我喜欢独品”。宋冬野如是说道。, , , ,035、交了一个漂亮地雷系女友，她给了我一个十万伏特之后告诉我应该用“的”。, 
291, ,038、爱国的小明为缩短日本人均寿命加入日本国籍后自杀,070、老师问同学文章的点睛之笔在哪行，同学们直呼内行,014、考古学家至今没有在古墓中发现塑料制品，说明古代已经发明了可降解塑料, , , ,034、小明吃饭忘记拿筷子，没用的东西。, 
292, ,037、不出意外的话，保险就白买了,069、熬夜的人是不是单纯的想拒绝第二天的到来呢？,013、“夸张了啊。”说罢，刘备开始细数三弟的优点。, , , ,033、浪漫的小明把求婚地点选在了两个人第一次的抛尸现场。, 
293, ,036、小王在老板面前夸下海口后，顺便还夸了下三亚。,068、“我是高中生”<br>“我是高中生”<br>“你不是高考完了吗？”<br>“我复读了”,012、司仪：你俩要是不结婚真的很难收场, , , ,032、间谍潜入美国总统办公室在桌板下面抹鼻屎。, 
294, ,035、吴京刷了几天五福却只能刷出爱国福,067、研究人员表明《流浪地球》有语病，应改为“流浪的球”。,011、喜欢偷偷按邻居门铃的小明见四下无人，按了第五下。, , , ,031、我和同桌都考了300分，和起来就是700。但是清华却错过了以一个700分录取两个人的超值机会。, 
295, ,034、食人族酋长因食用未煮透的人而怀疑人生,066、为了应对网友们“网抑云音乐”的嘲讽，网易云音乐决定把音乐的乐改成快乐的乐。,010、：你现在大概存了多少钱？<br>：50w<br>：卧槽？！真的吗？<br>：真的呀w, , , ,030、孩子还在长身体，棺材要买大一点。, 
296, ,033、睡觉是谁发明的？也太舒服了吧,065、你青春期三分之二的烦恼都来自父母，他们却试图帮你疏解烦恼。,009、突然猝死，可能是身体在向你求救！, , , ,029、女神劈头盖脸地骂道：“你就是只舔狗、弱鸡、癞蛤蟆、跟屁虫……”那一刻我大脑一片空白，只感觉冷冷的宾语在脸上胡乱地拍。, 
297, ,032、“谢邀。”明月对李白说。,064、找到我们广告跳过按钮的用户将奖励安装包一个,008、货车司机老刘连续开车开了三个月没有休息，老板安慰他说：“你别想不开”, , , ,028、房门隔音效果好差每次有人在外面敲门我都能听到。, 
298, ,031、被斩首的小明及时说出接头暗号顺利复活。,063、敬老院的新人都是老人，世界上的大人都是小人,007、老师：小明背一下26个字母<br>小明：AB<br>老师：怎么不继续说<br>小明：在等CD, , , ,027、登陆就送一百抽！美国南部海岸的码头工对运奴船喊道。, 
299, ,029、食人族带文学家称最优美的词句是“恰同学少年”,062、我把我的手表调快了一分钟，就这样遇到了本该错过的你。,006、“回头我给你涨工资”，说完老板头也不回地走了, , , ,026、舍友一周不洗澡，身上都臭了，是不是他还在生我上周砍了他一刀的气？, 
300, ,028、皮诺曹不停的说着“我才不要朋友”用长出来的鼻子做了许多小木偶人,061、观刈麦也叫杀死那个拾稼庄人。,005、我故意在凶器上留下了指纹，警察绝对想不到我是带着手套作案的。, , , ,025、老臣年迈，无法跪谢皇恩，只好新臣代谢。, 
301, ,027、反歧视？你这是歧视我们这种搞歧视的人,060、爱是两个人眼睛间不断来回反射的光,004、刚刚差点被车撞到还好捡回一条命，我现在有两条命了。, , , ,023、即使现场破乱不堪，名侦探仅凭回忆就还原了整个行凶过程。, 
302, ,026、我发现人在马桶上可以拉屎，把脑袋砍掉了不会，所以经过我的推断，人的脑袋里面有屎,059、“老鼠呢！？”<br>“这狗老鼠猫起来了”,003、我发现奥斯卡颁奖典礼是假的，我发现台下坐的大多数都是他们请来的演员。, , , ,022、从青龙山医院出来的那天，我听到路人嘟囔了一句：又进来一个。, 
303, ,025、通过作弊，小李思想品德获得了满分,058、“这tm是什么破歌啊！”<br>“茅屋为秋风所破歌”,002、小兰和新一结婚后，侦探事务所毛利率大幅下降, , , ,021、教各位出租车司机一个100%预测乘客目的地的方法：看到招手的一脚油门撞过去，他的目的地是医院。, 
304, ,024、“等于400！”震惊！小明仅用时2秒就打破男子4乘100记录,057、躺在床上第十八天的我突然泛起一阵恶心，原来是活腻了。,001、“兄弟们，签到了！”朝阳公安分局的夜班民警说。, , , ,020、古代人因为没有处理伤口感染的意识，被砍头的人很快就死了。, 
305, ,023、“不要再打了，我全招！”老板奄奄一息地望着应聘者们,056、年轻人注意了！身上出现这4种尸斑，是你的身体在对你发出警报！, , , , ,019、小时不识月，呼作地卫一。, 
306, ,022、战争不停的原因是和平鸽了,055、赵子龙七进七出长坂坡一共隔离了196天, , , , ,018、包子店老板问：要荤的吗？<br>想吃肉包子的我：素的。, 
307, ,020、大法官通过排除法，从而顺利当上大官。,054、停电了，我靠着不断发现身上的闪光点写完了作业。, , , , ,017、地球上有70%的海洋和30%的陆地，那么剩下的30%海洋和70%的陆地去哪了？, 
308, ,019、失败是成功之母，一上来就成功的都是孤儿！,053、老王一怒之下气死了。死神又让他活了过来，因为离魂需要冷静期, , , , ,016、刘备被称赞爱民如子，将围观群众挨个摔倒在地。, 
309, ,018、特洛伊人：希腊人来送🐴了,052、小红：请用“各奔东西”造句。小明：你个笨东西。, , , , ,015、周朝比夏朝晚了五百年是因为有中间商。, 
310, ,017、小明把卫生纸玩弄于股掌之间,051、1010年前竟然是1010年, , , , ,013、现在的学历歧视太严重了，我说我对象在上小学一堆人骂我。, 
311, ,016、太阳在晒你的同时，你也在晒太阳,050、生鱼片是死鱼片。, , , , ,012、“你日后要是惹出祸来，师父的名字就不要提了。”菩祖师对孙悟空说。, 
312, ,015、为了让自己文雅一些，拉面改名叫方便面,049、“这是心脏，这是肺，这是肝，这是楚雨荨”, , , , ,011、判断男人性取向很简单，从肛门的大小来看无非是大同小异。, 
313, ,014、算命的说我22岁之后要多少钱就有多少钱，现在我身上有15元8角，因为今天我只要到这么多。,048、男同敢出柜但是直男却不敢，说明男同更爷们儿一些。, , , , ,010、变形金刚寂寞了会上网约车吗？, 
314, ,013、早生贵子听起来像一个女日本人的名字,047、霍金失去物理学奖评选资格，理由是体测不达标。, , , , ,009、正方辩题：白色不可以作为字体的颜色。<br>反方辩题：, 
315, ,012、格陵兰岛被美国收购，瘟疫公司难度下降2级。,046、我国有几十所985院校，美国连一所都没有，由此可见，我国的教育水平已经远远超过了美国, , , , ,008、专家研究发现，高质量的睡眠可以大幅提升车祸的概率。, 
316, ,011、出门打架如果派出所有人，那就不需要派出所有人,045、“我造啊，浆纸对不对”蔡伦说道。, , , , ,007、谈判专家喊话询问被歹徒绑架的人质数是多少，不久后听到回应：“2，3，5，7，11……”, 
317, ,009、没有一片雪花是无辜的，王老汉指着没信号的电视说到,044、考生失联三天，最终在题目中的陷阱里被发现, , , , ,006、本店使用高温灭菌工艺，服务员向点了蘑菇汤的顾客解释端上来的白开水。, 
318, ,008、死有什么好怕的，死之前还没有死，死之后就没法怕,043、欲把西湖比西子，约分得到湖比子, , , , ,005、死刑犯没有吃最后一顿饭，因为他坚信少吃一顿不会死。, 
319, ,007、去掉一个最高温，去掉一个最低温，今天的天气预报播送完了,042、“爷是真的服了。”医院里，王爷爷面对医生对按时服药的质疑如是说道。, , , , ,004、同样的一个杯子，乐观主义者能看到里面还有半杯水，而盲人却看不到。, 
320, ,006、“小屁孩，这是什么法术法力这么高？”<br>“呵呵，这是未成年人保护法。”,041、“别羡慕别人的人生，是你自己要吃十分熟的！”食人族妈妈教育小朋友道。, , , , ,003、经过法医现场判断，死者是他杀的，警方于是迅速控制了法医。, 
321, ,005、公鸡是鸭子吗,040、白骨精一边剔牙一边向孙悟空辩解道：“不会吧不会吧这也要怪我？圈起来的不都是要烤的吗？”, , , , ,002、狐假虎威就是爽，我提着领导的头出门，大家看到都吓跑了。, 
322, ,004、王老汉愤怒地打开水龙头，因为开水龙头烫着他了。,039、我要是有钱了，就把“要是”两个字去掉。, , , , ,001、我市惊现无名男尸，王警官立刻发布悬赏帮他起个名字。, 
323, ,003、在发现我没有道德后，对方放弃了道德绑架,038、我们都以为是雨滴落向地面，其实是我们坠入天空。, , , , , , 
324, ,002、烽火连三月，褒姒笑成了一个憨丨批,037、“非线性叙事结构是什么？”<br>老师叫醒了小王，<br>问了他一个问题：, , , , , , 
325, ,001、“丢死人了！”王老汉一边喊着一边把尸体扔下了楼。,036、小明不小心摔散了拼了很久的乐高：“我哭了，我装的”, , , , , , 
326, ,030、智商税的设计太不合理，智商越高反而交得越少，从根本意义上就是对弱智的剥削,035、王警官蹲在地上仔细查看血迹，沉默良久之后，突然说道：“腿麻了。”, , , , , , 
327, ,108、为什么人从高处掉下来都会大叫？因为这是坠吼的,034、《月经》<br>一月、二月、三月、四月、五月、六月<br>七月、八月、九月、十月、十一月、十二月, , , , , , 
328, , ,033、娘在汉语中有妈的意思，你没有妈的意思, , , , , , 
329, , ,032、死者为大，傻逼死了变成大傻逼, , , , , , 
330, , ,031、我租下了世界直到我将死去的那天, , , , , , 
331, , ,030、有个东西四个字，有时候有三个字，但是从来没有五个字。, , , , , , 
332, , ,029、重义轻利的反义词是不是小意大利？, , , , , , 
333, , ,028、我用过期的车票坐上了昨天的火车, , , , , , 
334, , ,026、什么地方阴气最重？<br>钢琴和邮箱，因为“钢琴住了几个妖、邮箱住了几个魔”, , , , , , 
335, , ,025、无底洞，说到底就是有底洞，说穿了它又是无底洞, , , , , , 
336, , ,024、国骂从CNM演变到NMSL，人口基数也就下来了, , , , , , 
337, , ,023、我们可以把氧化还原反应叫做电子竞技, , , , , , 
338, , ,022、宿舍停水了，舍友用我的论文洗完了澡。, , , , , , 
339, , ,021、唯物论，永远滴神！, , , , , , 
340, , ,020、“什么是蝴蝶效应？”<br>“就是指一只南美洲的蝴蝶扇动翅膀，最终导致你在这两句毫无意义的对话上浪费了10秒钟时间。”, , , , , , 
341, , ,027、🐱A：你主人给你做绝育了没<br>🐱B：妈的，绝了, , , , , , 
342, , ,019、考生进场前发现忘带准考证民警五分钟内为其联系好工地, , , , , , 
343, , ,018、答题卡这个名字太不吉利了，建议改成答题顺, , , , , , 
344, , ,017、坐公交缺了一块，司机叫我滚蛋。夜空也缺了一块，你们却管她叫月亮？, , , , , , 
345, , ,016、玩家：“为什么我打游戏没有伤害？”<br>制作商：“没有买卖就没有伤害。”, , , , , , 
346, , ,015、两盏声控灯我一语双关。, , , , , , 
347, , ,014、“说叠字的男生也太可爱了吧。”<br>“我是你叠。”, , , , , , 
348, , ,013、捡到一束光，日落时还给太阳。, , , , , , 
349, , ,012、吸血鬼当众痛斥太阳，媒体报道称观测到太阳黑子。, , , , , , 
350, , ,011、月亮——摘自《夜空》, , , , , , 
351, , ,010、“我还是决定跟你分手。我们就此道个别吧。”<br>“别吧。”, , , , , , 
352, , ,009、历史都是由胜利者书写的，所以二战获胜方是人民教育出版社, , , , , , 
353, , ,008、>海棠，>吃<，<吃？, , , , , , 
354, , ,007、“他的伤势怎么样了？！”<br>“你先不要着急，验尸结果还没出来呢。”, , , , , , 
355, , ,006、有谣言说我喜欢你，我在这里澄清一下，我是石灰水。, , , , , , 
356, , ,005、弱酸的本质是酸，<br>弱碱的本质是碱，<br>由此可推弱智的本质是智，<br>弱智吧日常就是智慧日常，<br>在座各位都是智人。, , , , , , 
357, , ,004、同学们，这节地理课我们来学习澳大利亚，我们都知道澳大利亚的畜牧业发达，那大家知道澳大利亚的主要牲畜是什么吗？”<br>“澳大利亚军人。”, , , , , , 
358, , ,003、“不会吧！不会吧？不会吧？”葛军编写数学高考卷子时兴奋地大喊道。, , , , , , 
359, , ,002、雨天，我走进水坑里，不小心踩碎了天空。, , , , , , 
360, , ,001、四川人至死不渝，重庆人乐不思蜀。, , , , , , 
